Maker,2W,3W,4W
MAHINDRA DEFENCE SYSTEMS LTD,0,0,1
MAHINDRA ELECTRIC MOBILITY LIMITED,0,310,2
MAHINDRA & MAHINDRA LIMITED,19,3910,47906
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,0,9556
MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,12640
MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,0,0,2
MAHTAB BODY MAKER,0,39,0
MALAK TECHNO PVT LTD,0,6,0
MALI ENTERPRISES PVT LTD,0,2,0
MALIK ENGINEERING WORKS,0,0,1
MALKIT AGRO TECH PVT. LTD,0,0,65
MANIRAM ELECTRIC VEHICLE PVT LTD,0,13,0
MANISH EV INTERNATIONAL PRIVATE LIMITED,0,32,0
MANITA CITY MOTORS LLP,0,111,0
MANITOU EQUIPMENT INDIA PVT LTD,0,0,27
MANKU AGRO TECH PVT LTD,0,0,120
MANKU AGRO TECH. PVT. LTD.,0,0,1
MARATHWADA QUALITY TRAILER,0,0,2
MARINE NAVAIDS & SOLAR AUTO PVT LTD,0,1,0
MARKUS,0,2,0
MARTHWADA TRALIOR,0,0,12
MARUTHISAN PVT LTD,9,0,0
MARUTI SUZUKI INDIA LTD,1,0,114548
MARUTI UDYOG LTD,0,0,19
MASERATI S.P.A,0,0,2
MATHAROO BROTHERS AGRO TECH PVT LTD,0,0,1
MATHARU ENGINEERING AGRI WORKS,0,0,3
MB AGRO INDUSTRIES,0,0,1
MERCEDES -BENZ AG,0,0,54
MERCEDES-BENZ INDIA PVT LTD,0,0,1183
MEW ELECTRICALS LIMITED,16,0,0
M G INDUSTRIES,0,17,0
MINI METRO EV L.L.P,0,1037,0
MIRAKLE 5 AUTOMOBILES PVT LTD,12,0,0
MITSUBISHI MOTORS CORPORATION,0,0,1
M.K. ENTERPRISES,0,53,0
MLR AUTO LTD,0,81,0
MOVE STONE SERVICES PVT LTD,0,162,0
M S AGRO INDUSTRIES,0,0,1
"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",0,0,3
M/S ASHOKA INDUSTRIES,0,0,2
M/S BHARAT TRAILERS,0,0,14
"M/S CHUDHURY ENGG. WORKS,BAMRA,SAMBALPUR",0,0,1
M/S DAS ENGINEERING WORKSHOP,0,0,1
M/S HOTA AGRO (TRAILER),0,0,1
M/S JAVED STEEL INDUSTRIES,0,0,3
M/S KASTKAR AGRO INDUSTRIES,0,0,16
M/S K K AGRO INDUSTRIES,0,0,1
M/S LOHIYA AGRO INDUSTRIES,0,0,1
M/S MAA MANGALA INDUSTRIES,0,0,10
M/S MAA MOTORS WORKS,0,0,2
M/S MAA MOTORS WORKSHOP,0,0,4
M/S NATIONAL STEEL AND WIRE PRODUCTS SAMBALPUR,0,0,1
M/S NEW SHETKARI ENGINEERING WORK,0,0,6
M/S RAM AGRO MACHINARY,0,0,3
M/S R.K. ENGINEERING WORKS,0,0,2
M/S SAI AUTO ENGINEERING WORKS,0,0,1
M/S SARANGI MOTROS,0,0,14
M/S SARMA ENGINEERING WORKS,0,0,2
M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,0,0,78
M/S-SHRADHA INDUSTRIES,0,0,1
M/S SHRIRAM AUTO TECH PVT LTD,0,282,0
