Maker,2W,3W,4W
M/S RAM AGRO MACHINARY,0,0,4
M/S SARANGI MOTROS,0,0,8
M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,0,0,67
M/S-SHRADHA INDUSTRIES,0,0,3
M/S SHRIRAM AUTO TECH PVT LTD,0,263,0
"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",0,0,2
MUNDE MECHANICAL WORKS,0,0,12
MYTRAH MOBILITY PVT LTD,0,0,11
N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,514,0
"NAIK TROLLEY AND IMPL,SNG",0,0,75
NAZAR SINGH & SONS,0,0,7
NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,40,0
NEELAM CYCLE,0,2,0
NEUON MOTORS LLP,0,2,0
NEW ARCANA INDIA,0,101,0
NEW DEVE AGRO WORKS,0,0,1
NEW GAHIR AGRO INDUSTRIES,0,0,4
NEW GOBIND AGRO INDUSTRIES,0,0,2
NEW GOLDEN AGRICULTURE,0,0,1
NEW GURDIAL AGRO INDUSTRIES PVT LTD,0,0,10
NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,0,0,3
NEW MALLIKARJUNA ENG WORKS,0,0,18
NEW MARTHWADA QUALITY TRAILOR,0,0,1
NEW SUPER QUALITY TRAILOR,0,0,13
NEWTON INDIA INDUSTRIES PVT LTD,0,1,0
NGAGE WHEEL PVT LTD,0,2,0
NHD MOTORS,0,16,0
NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),14,0,0
NIPUN SANYANTRA PVT LTD,0,34,0
NIRMAL UTILITY SERVICES PVT LTD,0,1,0
NISIKI TECHNOLOGIES PVT LTD,9,0,0
NISSAN MOTOR INDIA PVT LTD,0,0,2300
N K INDUSTRIES,0,0,11
NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,306,0
N.S. AGRO WORKS,0,0,1
NUMEROS MOTORS PVT LTD,9,0,0
OBEN ELECTRIC VEHICLES PVT LTD,3,0,0
ODYSSE ELECTRIC VEHICLES PVT LTD,18,0,0
OGATA MOTORS INDIA PVT LTD,0,12,0
OKAYA EV PVT LTD,874,0,0
OKINAWA AUTOTECH PVT LTD,1474,0,0
OK PLAY INDIA LTD,0,17,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,23894,0,0
OLECTRA GREENTECH LTD,0,0,36
OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,313,0
OMEGA CONSTRUCTION EQUIPMENT PVT LTD,0,0,2
OMEGA SALES & AGRO INDUSTRIES,0,34,0
OMEGA SEIKI PVT LTD,0,289,2
OM RAJ AUTOTECH LLP,0,100,0
OM SHREE SAI ENGINEERING,0,0,3
ORDINANCE FACTORY,0,0,10
OTHERS,35,425,1542
OZOTEC AUTOMOBILE PRIVATE LIMITED,18,0,0
PACE AGRO PRIVATE LIMITED,0,1,0
PANESAR AGRO TECH,0,0,5
PANTHER ELECTRIC VEHICLES,0,1,0
PARAMOUNT AUTOMOTIVES,0,0,6
PARAS INDUSTRIES,0,313,0
PARDEEP AGRO INDUSTRIES,0,0,5
