Maker,2W,3W,4W
NIPUN SANYANTRA PVT LTD,0,41,0
NIRMAL UTILITY SERVICES PVT LTD,0,1,0
NISIKI TECHNOLOGIES PVT LTD,13,0,0
NISSAN MOTOR INDIA PVT LTD,0,0,2704
N K INDUSTRIES,0,0,6
NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,178,0
N.S. AGRO WORKS,0,0,4
NUMEROS MOTORS PVT LTD,31,0,0
ODYSSE ELECTRIC VEHICLES PVT LTD,8,0,0
OGATA MOTORS INDIA PVT LTD,0,2,0
OKAYA EV PVT LTD,1765,0,0
OKINAWA AUTOTECH PVT LTD,4509,0,0
OK PLAY INDIA LTD,0,8,0
