Maker,2W,3W,4W
GLAZE EV LLP,0,12,0
G. M. VEHICLE INDUSTRIES,0,2,0
GOBIND AGRO INDUSTRIES,0,0,2
GOBIND INDUSTRIES PVT LTD,0,4,0
GODAWARI ELECTRIC MOTORS PVT LTD,119,26,0
GODREJ AND BOYCE MFG CO LTD,0,0,1
GODREJ & BOYCE MFG. CO. LTD,0,0,8
GOLDEN ELECTRIC VEHICLES,0,13,0
GOPAL AUTO MOTORS PVT LTD,0,123,0
GOREEN E-MOBILITY PVT LTD,26,0,0
GRD MOTORS,0,417,0
GREAVES ELECTRIC MOBILITY PVT LTD,4471,0,0
GREEN EVOLVE PVT LTD,0,20,0
GREENFIT INDUSTRIES LLP,0,51,0
GREEN IMPEX,0,51,0
GREEN STAR MOTORS,0,11,0
GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,1,0
GREEN TECHNOLOGIES,0,79,0
GREENWHEELS AUTOMOBILE PVT LTD,0,75,0
GROMAX AGRI EQUIPMENT LTD,0,0,343
GROVE INDIA PVT LTD,0,0,2
G.T TRADER,0,6,0
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),13,0,0
GURM AGRICULTURE WORKS,0,0,1
GURMUKH AGRO INDUSTRIES,0,0,5
GURU NANAK AGRI ENGG WORKS,0,0,22
HAITEK AUTOMOTIVE PVT LTD,0,10,0
HANUMAN UDYOG,0,8,0
HARJEET AGRO INDUSTRIES,0,0,7
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),16,0,0
HARMEET AGRICULTURE WORKS,0,0,4
HARSH TRADING CO,0,3,0
HARYANA MOTORS PVT LTD,0,15,0
HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,1
HERO ELECTRIC VEHICLE PVT LTD,1,0,0
HERO ELECTRIC VEHICLES PVT. LTD,158,0,0
HERO HONDA MOTORS  LTD,1,0,0
HERO MOTOCORP LTD,917633,0,0
HIMANI AGRO INDUSTRIES,0,0,3
HIM TEKNOFORGE LTD,0,25,0
HIND AGRO INDUSTRIES,0,0,1
HINDUSTAN MOTOR CORPORATION,0,75,0
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,6
HINDUSTHAN TECHNOLOGIES PVT LTD CUTTACK JAGATPUR,0,1,0
HIRA AGRO INDUSTRIES,0,0,4
HI TECH ENGINEERING BHADRAK CHARAMPA,0,0,1
HITENDRA WELDING WORKS,0,0,8
HOMFEEL VEGH AUTOMOBILES PVT LTD,1,0,0
HONDA CARS INDIA LTD,0,0,4648
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,657179,0,2
HONGKONG YIXING (IMPORTER: ADMS MARKETING),40,0,0
HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),1,0,0
HOOGHLY MOTORS PVT LTD,0,375,0
HOP ELECTRIC MOBILITY PVT LTD,17,0,0
HOP MOTORS PVT LTD,0,12,0
HOTAGE INDIA,0,933,0
HOVEL CYLINDER PVT LTD,0,13,0
H R AGRO INDUSTRIES,0,0,2
HUNDA EV PVT LTD,0,42,0
HUNDAL INDUSTRIES,0,79,0
HYKON INDIA LTD,0,1,0
HYUNDAI MOTOR INDIA LTD,0,0,45197
IGOWISE MOBILITY PVT LTD,9,0,0
INDIA KAWASAKI MOTORS PVT LTD,285,0,0
INDIAN MOTORS,0,182,0
INDIA SAFE ENTERPRISE,0,5,0
INDIA YAMAHA MOTOR PVT LTD,68571,0,1
INDO FARM EQUIPMENT LIMITED,0,0,254
INDUS ELECTROTHERM INDIA LTD,0,0,1
INS AUTOMOBILES PVT LTD,0,160,0
INTERGLOBE ENERGY PVT LTD,0,388,0
INTERNATIONAL TRACTORS LIMITED,0,0,10861
INVVIGORS INDIA,0,6,0
IPL TECH ELECTRIC PVT LTD,0,0,2
IRA EDUTECH PVT LTD,4,0,0
ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,0,0,6
ISHWAR FARMLINE EQUIPMENTS PVT LTD,0,0,2
ISUZU MOTORS INDIA PVT LTD,0,0,133
IVOOMI INNOVATION PVT LTD,134,0,0
IZANAU ELECTRIC LLP,1,0,0
JADE KOREA SPINE LIFE,0,3,0
JAGUAR LAND ROVER INDIA LIMITED,0,0,335
JAI BHAVANI ENGINEERING  WORKS,0,0,46
JAIDKA POWER SYSTEMS PVT LTD,0,6,0
JAIN POWER CORP,0,31,0
JAISIK BUSINESS LINKS PVT LTD,0,43,0
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,9,0
JAJODIA COMMODITIES PVT LTD,0,221,0
JAL ENTERPRISES,0,7,0
JAY AGRO INDUSTRIES,0,0,9
JAY BHAVANI TRAILOR,0,0,11
JAYNA AUTOMOBILES LLP,0,6,0
JBM AUTO LIMITED,0,0,10
JCB INDIA LIMITED,0,0,3759
JEEVAA E-BIKE MFG PVT LTD,1,0,0
JESSUN TECHNO PVT LTD,0,16,0
JIANGSU AIMA (IMPORTER: FUTURE EV),1,0,0
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),2,0,0
JIANGSU DALONG (IMPORTER: SABOO TOR),5,0,0
JIANGSU JINPENG (IMPORTER: KKL HITECH EV),0,1,0
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),1,0,0
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),6,0,0
JITENDRA NEW EV-TECH PVT. LTD,72,0,0
JITENDRA TEMPO PARTS,0,39,0
J K AGRO INDUSTRIES,0,0,1
JMSSP AGRO INDUSTRIES PVT LTD,0,0,3
JMT VEHICLES PVT LTD,0,214,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,0,5999
J P AUTO TECH,0,15,0
J. S. AUTO (P) LTD,0,969,0
JS MOBILEON PVT LTD,0,75,0
JSW MG MOTOR INDIA PVT LTD,0,0,5233
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),4,0,0
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),9,0,0
JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),5,0,0
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),2,0,0
KABIRA MOBILITY LLP,0,0,1
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,24,0
KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,0,1,0
KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),39,0,0
KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),1,0,0
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),1,0,0
KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),2,0,0
KAKKAR ELECTRIC AUTO PVT LTD,0,31,0
KALINGA VENTURES INDIA PVT LTD,0,20,0
KALPVRIKSH ELECTOMOBILES CO,0,14,0
KAMAZ INDUSTRIES,0,20,0
KANHA ELECTRIC VEHICLES,0,33,0
KAPTECH INDIA PVT LTD,0,211,0
KARMA MECHANICAL WORKS,0,0,1
KARTAR AGRO INDUSTRIES PVT LTD,0,0,160
KARTAR TRACTORS PRIVATE LIMITED,0,0,27
KATYAYANI AUTOMOTIVE,0,1,0
KCAS ELECTRIC VEHICLES PVT LTD,0,18,0
K D AGRO INDUSTRIES,0,0,1
KERALA AUTOMOBILES LIMITED,0,5,0
KETO MOTORS PVT LTD,0,25,0
KETRON ELECTRIC VEHICLES PVT LTD,0,4,0
